NDB_No,FdGrp_Cd,Long_Desc,Shrt_Desc,Com_Name,ManufacName,Survey,Ref_Desc,Refuse,Sci_Name,N_FActor,Pro_Factor_,Fat_Factor_,CHO_Factor
01107,0100,"Milk, human, mature, fluid","MILK,HUMAN,MATURE,FLUID",NULL,NULL,Y,NULL,0,NULL,6.380000114440918,4.269999980926514,8.789999961853027,3.869999885559082
01108,0100,"Milk, indian buffalo, fluid","MILK,INDIAN BUFFALO,FLUID",NULL,NULL,NULL,NULL,0,NULL,6.380000114440918,4.269999980926514,8.789999961853027,3.869999885559082
